Designator,Mid X,Mid Y,Layer,Rotation
J2,27.7mm,46.6mm,Bottom,180
C1,32.3mm,38.35mm,Top,-90
C2,35.6mm,20.7mm,Top,90
C3,35.9625mm,23mm,Top,0
C4,44.75mm,24.7mm,Top,180
C5,43.75mm,23.55mm,Top,0
C6,34.65mm,39.15mm,Top,0
C7,35.455mm,37.95mm,Top,180
C8,29.975mm,27.8925mm,Top,90
C9,31.025mm,27.8925mm,Top,-90
C10,46.1625mm,34.35mm,Top,90
C11,13.4mm,18.6mm,Top,0
C12,10.4625mm,25.9mm,Top,0
C13,16.25mm,34.05mm,Top,180
C14,12.2mm,32.15mm,Top,180
C15,16.75mm,35.55mm,Top,0
C16,13.85mm,37.9mm,Top,0
C17,14.6mm,29.4mm,Top,-90
C18,37.25mm,8.3575mm,Top,90
C19,38.15mm,8.3575mm,Top,90
C20,28.0075mm,4.75mm,Top,0
C21,26.5mm,3.45mm,Top,90
C22,28.0075mm,2.85mm,Top,0
C25,32.3mm,13.0425mm,Top,-90
C26,11.05mm,42.25mm,Top,0
C27,16.3mm,44.75mm,Top,180
C28,12.75mm,48.3mm,Top,180
C29,12.75mm,49.95mm,Top,180
D1,15.46375mm,24.85mm,Top,180
D2,15.46mm,25.85mm,Top,180
D3,29mm,35.5425mm,Top,-90
D4,23.4mm,12.7mm,Top,0
D5,24.65mm,3.435mm,Top,-90
J1,59.25mm,30.65mm,Top,90
J3,4.1mm,28.55mm,Top,-90
J4,53.4mm,46.25mm,Top,90
J5,15.35mm,4.55mm,Top,90
L1,9.35mm,35.95mm,Top,-90
L2,8.05mm,46.55mm,Top,-90
Q1,13.85mm,15.45mm,Top,0
R1,30.5mm,31.5mm,Top,0
R2,37.0625mm,38.55mm,Top,90
R3,9.5mm,32.3mm,Top,180
R4,9.45mm,27.5mm,Top,180
R5,9.4425mm,28.45mm,Top,180
R6,9.15mm,21.85mm,Top,180
R7,10.95mm,24.5mm,Top,-90
R8,9.2mm,20.9mm,Top,180
R9,13.26375mm,24.85mm,Top,180
R10,13.2675mm,25.85mm,Top,180
R11,15.85mm,32.55mm,Top,90
R12,34.225mm,14.2mm,Top,0
R13,51.65mm,34.85mm,Top,180
R14,51.65mm,33.95mm,Top,180
R15,51.65mm,33.05mm,Top,180
R16,51.65mm,32.15mm,Top,180
R17,51.6675mm,31.3mm,Top,0
R17,79.75mm,20.9mm,Top,0
R18,29mm,33.4425mm,Top,-90
R19,79.7mm,12.75mm,Top,0
R20,25.55mm,3.45mm,Top,90
R21,79.7mm,34.5mm,Top,180
R22,79.7mm,42.5mm,Top,0
R23,15.2mm,12.6mm,Top,0
R24,29.2925mm,41.4mm,Top,180
R25,25.25mm,41.7mm,Top,0
R26,11.45mm,18.85mm,Top,-90
R27,14.3075mm,42.3mm,Top,0
SW1,77.8mm,39.7mm,Top,0
SW2,77.8mm,31.7mm,Top,0
SW3,77.8mm,23.7mm,Top,0
SW4,77.725mm,15.7mm,Top,0
SW5,21.65mm,15.55mm,Top,180
TP1,32.4mm,24.25mm,Top,0
TP2,45.8mm,36.4mm,Top,0
TP3,47.05mm,38.3mm,Top,0
TP5,27mm,9.15mm,Top,0
TP6,22.5mm,4.3mm,Top,0
TP8,12.2mm,9.85mm,Top,90
TP9,16.4mm,9.9mm,Top,90
U1,38.8125mm,30.7mm,Top,0
U2,13.1mm,22.15mm,Top,90
U3,13mm,35.07mm,Top,0
U4,55.2mm,12.4mm,Top,0
U5,32.925mm,5.25mm,Top,180
U7,17.0025mm,28.75mm,Top,0
U8,13.3mm,45.25mm,Top,0
