Ref,Val,Package,PosX,PosY,Rot,Side
,,,314.500000,-62.800000,0.000000,top
,,,357.700000,-97.900000,0.000000,top
BZ1,Buzzer,Buzzer_12x9.5RM7.6,322.800000,-90.850000,0.000000,top
C2,47n,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,346.450000,-83.600000,180.000000,top
C3,10u,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,347.250000,-91.650000,0.000000,top
C4,10u,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,347.200000,-93.950000,0.000000,top
C5,10u,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,341.580000,-62.350000,0.000000,top
C6,4.7u,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,340.050000,-96.630000,-90.000000,top
C7,0.1u,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,353.300000,-70.000000,0.000000,top
C8,10u,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,347.350000,-96.050000,0.000000,top
C9,22u,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,334.190000,-64.000000,0.000000,top
C10,10u,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,350.450000,-92.600000,90.000000,top
C11,22u,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,357.500000,-68.950000,-90.000000,top
C12,1u,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,341.980000,-84.040000,180.000000,top
C13,10uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,341.540000,-66.210000,180.000000,top
C14,0.01uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,346.950000,-70.700000,-90.000000,top
C15,2.2uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,337.200000,-70.943267,90.000000,top
C16,0.01uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,341.540000,-68.290000,180.000000,top
C17,0.01uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,333.430000,-69.850000,0.000000,top
C18,10u,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,351.450000,-96.050000,180.000000,top
C19,22u,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,320.590000,-97.857500,-90.000000,top
D1,SMAJ5.0A,D_SMA,342.300000,-71.300000,0.000000,top
D2,LED,D_0805_2012Metric_Pad1.15x1.40mm_HandSolder,343.250000,-93.500000,0.000000,top
J1,Battery,PinHeader_1x02_P2.54mm_Vertical,330.275000,-64.800000,-90.000000,top
J2,Conn_01x04_Pin,JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical,315.500000,-85.220000,90.000000,top
J3,Conn_02x05_Top_Bottom,JST_SH_BM10B-SRSS-TB_1x10-1MP_P1.00mm_Vertical,350.650000,-65.240000,0.000000,top
J4,Conn_01x04_Pin,Pogo_con_2x2,355.110000,-75.130000,180.000000,top
L1,2.2u,L_Sunlord_SWPA252012S,346.100000,-86.000000,0.000000,top
L2,2.2u,L_Sunlord_SWPA252012S,333.800000,-66.400000,180.000000,top
L3,2.2u,L_0805_2012Metric_Pad1.05x1.20mm_HandSolder,353.350000,-85.550000,0.000000,top
L4,2.2u,L_Sunlord_SWPA252012S,327.800000,-98.600000,180.000000,top
Q1,IRLML6402,SOT-23,338.590000,-64.050000,0.000000,top
Q2,BC847,SOT-23,321.662500,-84.100000,0.000000,top
R1,10k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,323.730000,-78.690000,180.000000,top
R4,30.1k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,343.200000,-95.800000,0.000000,top
R5,260,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,335.250000,-89.050000,0.000000,top
R6,30.1k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,335.300000,-91.200000,0.000000,top
R7,5.23k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,338.850000,-93.450000,180.000000,top
R8,100k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,353.000000,-89.000000,90.000000,top
R9,100k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,323.900000,-98.700000,180.000000,top
R10,400k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,334.650000,-94.400000,0.000000,top
R11,4.7k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,328.340000,-82.610000,90.000000,top
R12,100k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,324.740000,-82.320000,180.000000,top
R13,100k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,353.400000,-83.650000,180.000000,top
R14,100k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,334.600000,-96.600000,0.000000,top
R16,0.4,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,321.090000,-74.890000,-90.000000,top
R17,0.4,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,318.850000,-69.890000,180.000000,top
R18,51k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,318.500000,-65.200000,0.000000,top
R19,51k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,318.500000,-67.250000,0.000000,top
R20,100k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,337.700000,-66.810000,180.000000,top
R21,0,R_0201_0603Metric_Pad0.64x0.40mm_HandSolder,330.907500,-78.080000,0.000000,top
R22,0,R_0201_0603Metric_Pad0.64x0.40mm_HandSolder,328.830000,-78.080000,0.000000,top
R25,0,R_0201_0603Metric_Pad0.64x0.40mm_HandSolder,343.162500,-76.030000,0.000000,top
R26,0,R_0201_0603Metric_Pad0.64x0.40mm_HandSolder,338.050000,-84.250000,90.000000,top
R27,0,R_0201_0603Metric_Pad0.64x0.40mm_HandSolder,333.282500,-72.460000,0.000000,top
R29,0,R_0201_0603Metric_Pad0.64x0.40mm_HandSolder,331.492500,-85.100000,180.000000,top
R30,0,R_0201_0603Metric_Pad0.64x0.40mm_HandSolder,344.350000,-81.650000,180.000000,top
R31,0,R_0201_0603Metric_Pad0.64x0.40mm_HandSolder,346.900000,-81.650000,180.000000,top
R32,0,R_0201_0603Metric_Pad0.64x0.40mm_HandSolder,347.700000,-80.300000,180.000000,top
R33,0,R_0201_0603Metric_Pad0.64x0.40mm_HandSolder,342.742500,-73.520000,180.000000,top
R34,0,R_0201_0603Metric_Pad0.64x0.40mm_HandSolder,345.360000,-75.360000,0.000000,top
R35,0,R_0201_0603Metric_Pad0.64x0.40mm_HandSolder,330.600000,-82.550000,180.000000,top
R37,4.7k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,348.910000,-76.160000,-90.000000,top
R38,4.7k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,354.750000,-80.400000,0.000000,top
TH1,10k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,337.850000,-96.650000,-90.000000,top
TP1,TestPoint,TestPoint_Pad_D1.0mm,332.700000,-83.250000,0.000000,top
TP3,TestPoint,TestPoint_Pad_D1.0mm,350.650000,-81.000000,0.000000,top
TP4,TestPoint,TestPoint_Pad_D1.0mm,332.800000,-86.650000,0.000000,top
TP5,TestPoint,TestPoint_Pad_D1.0mm,335.050000,-86.650000,0.000000,top
TP6,TestPoint,TestPoint_Pad_D1.0mm,349.460000,-79.370000,0.000000,top
U1,STM32L412CBUx,QFN-48-1EP_7x7mm_P0.5mm_EP5.6x5.6mm,337.400000,-78.700000,0.000000,top
U2,TPS62160DSG,WSON-8-1EP_2x2mm_P0.5mm_EP0.9x1.6mm_ThermalVias,348.550000,-89.015000,0.000000,top
U3,TPS62160DSG,WSON-8-1EP_2x2mm_P0.5mm_EP0.9x1.6mm_ThermalVias,331.380000,-99.070000,180.000000,top
U4,BQ25895RTW,Texas_RTW_WQFN-24-1EP_4x4mm_P0.5mm_EP2.7x2.7mm_ThermalVias,341.350000,-88.787500,-90.000000,top
U5,DRV8834PWP,PWP_24,326.911901,-71.600000,0.000000,top
U6,TPS62162DSG,WSON-8-1EP_2x2mm_P0.5mm_EP0.9x1.6mm_ThermalVias,349.300000,-85.950000,0.000000,top
U7,MAX17048G_T10,SON50P200X200X80-9N,345.225000,-77.890000,180.000000,top
